,anime_id,name,genre,type,episodes,rating,members
32,5258,Hajime No Ippo New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995
33,28957,Mushishi Zoku Shou Suzu No Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266
34,11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431
9504,25301,Maya No Isshou,"Drama, Historical, Slice of Life",Movie,1,8.75,66
35,431,Howl No Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186
37,31757,Kizumonogatari Ii Nekketsuhen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347
36,11741,Fatezero 2Nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973
38,19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562
39,12365,Bakuman 3Rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620
40,1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
41,32366,Gintama Aizome Kaorihen,"Comedy, Parody",OVA,2,8.69,16947
45,4282,Kara No Kyoukai 5 Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074
44,19647,Hajime No Ippo Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756
42,30654,Ansatsu Kyoushitsu Tv 2Nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475
43,20583,Haikyuu,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498
10793,28557,Yamete Writer Asobi Doubutsu Mura No Shouboutai Shutsu Dou,"Drama, Kids",OVA,1,8.67,40
10847,26097,Yume No Tsuzuki,"Drama, Kids",OVA,1,8.67,53
10718,22219,Warera Salaryman Tou,"Comedy, Slice of Life",TV,26,8.67,57
10259,22995,Shisei Sasshin,Slice of Life,Movie,1,8.67,51
9567,26337,Minna No Doutoku,"Drama, Fantasy, Historical, Kids, School",OVA,6,8.67,41
46,10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322
9208,26139,Kie Saranu Kizuato Hi No Umi Osaka,"Historical, Kids",OVA,1,8.67,48
47,22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187
48,21329,Mushishi Special Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036
50,7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531
49,31043,Boku Dake Ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381
52,30709,Kamisama Hajimemashita Kakohen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422
51,3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162
54,31240,Rezero Kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839
53,6114,Rainbow Nisha Rokubou No Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474
56,5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173
55,4565,Tengen Toppa Gurren Lagann Movie Lagannhen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253
57,9989,Ano Hi Mita Hana No Namae Wo Bokutachi Wa Mada Shiranai,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835
58,24415,Kuroko No Basket 3Rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525
62,32995,Yuri On Ice,"Comedy, Sports",TV,12,8.61,103178
61,28171,Shokugeki No Souma,"Ecchi, School, Shounen",TV,24,8.61,348951
59,11577,Steinsgate Movie Fuka Ryouiki No Dj Vu,"Sci-Fi, Thriller",Movie,1,8.61,192424
60,10408,Hotarubi No Mori E,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439
63,21899,Gintama Yorinuki Gintamasan On Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104
64,26055,Jojo No Kimyou Na Bouken Stardust Crusaders 2Nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657
8234,33950,Black Clover,"Action, Comedy, Fantasy, Magic, Shounen",Special,1,8.6,2247
65,7472,Gintama Movie Shinyaku Benizakurahen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185
68,28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295
67,22535,Kiseijuu Sei No Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457
66,777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454
69,12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958
73,5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653
70,28805,Bakemono No Ko,"Adventure, Supernatural",Movie,1,8.58,80825
71,578,Hotaru No Haka,"Drama, Historical",Movie,1,8.58,174878
74,21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862
72,16894,Kuroko No Basket 2Nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325
78,17389,Kingdom 2Nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234
77,5205,Kara No Kyoukai 7 Satsujin Kousatsu Kou,"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658
75,801,Ghost In The Shell Stand Alone Complex 2Nd Gig,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993
76,31933,Jojo No Kimyou Na Bouken Diamond Wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074
79,170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570
80,10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855
82,32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716
81,18617,Girls Und Panzer Der Film,"Military, School",Movie,1,8.55,25641
83,877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256
85,24687,Mushishi Zoku Shou Odoro No Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011
84,2251,Baccano,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215
86,16498,Shingeki No Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
87,10030,Bakuman 2Nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561
89,30346,Doukyuusei Movie,"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864
88,5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108
91,13125,Shinsekai Yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376
90,3784,Evangelion 20 You Can Not Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224
92,12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223
97,10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436
93,14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074
95,14719,Jojo No Kimyou Na Bouken Tv,"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197
94,10087,Fatezero,"Action, Fantasy, Supernatural",TV,13,8.51,453630
96,9756,Mahou Shoujo Madokamagica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974
99,22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927
9101,31015,Kakusensou,"Drama, Historical, Kids",OVA,1,8.5,34
104,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076
105,32282,Shokugeki No Souma Ni No Sara,"Ecchi, School, Shounen",TV,13,8.5,185015
103,11917,Major World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405
98,13601,Psychopass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109
101,18115,Magi The Kingdom Of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026
102,11981,Mahou Shoujo Madokamagica Movie 3 Hangyaku No Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735
8240,31003,Boku No Aozora,"Drama, Kids",OVA,1,8.5,44
8575,33842,Fushigi No Yappo Shima Pukipuki To Poi,Kids,TV,25,8.5,24
9015,30970,Jidou Bungaku Library,"Demons, Drama, Fantasy, Historical, Kids, Magic, Romance, Samurai, Supernatural",OVA,6,8.5,49
9574,29365,Mirai E No Niji Boku No Ojisan Wa Hansenbyou,"Drama, Kids",OVA,1,8.5,45
10616,28023,Tsuru No Sugomori,Kids,Movie,1,8.5,46
10146,33824,Satoukibibatake,"Drama, Historical",OVA,1,8.5,21
10498,32585,Telemonster,Adventure,TV,Unknown,8.5,32
100,30230,Diamond No Ace Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531
8152,33821,Aoyo Kaette Koi Tokyo Dai Kuushuu,"Drama, Historical",OVA,1,8.5,26
8781,26141,Hato Yo Hiroshima No Sora Wo,"Historical, Kids",OVA,1,8.5,71
8729,26295,Haha Uzura,"Drama, Kids",OVA,1,8.5,44
109,2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850
110,25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895
106,6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241
107,11979,Mahou Shoujo Madokamagica Movie 2 Eien No Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361
108,7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788
113,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434
114,12531,Sakamichi No Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592
112,136,Hunter X Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255
115,523,Tonari No Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484
111,2921,Ashita No Joe 2,"Drama, Sports",TV,47,8.48,6259
116,467,Ghost In The Shell Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491
118,19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291
117,572,Kaze No Tani No Nausica,"Adventure, Fantasy",Movie,1,8.47,143273
120,392,Yuuyuuhakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017
119,2559,Romeo No Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074
123,1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025
124,5341,Ookami To Koushinryou Ii,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491
126,10863,Steinsgate Oukoubakko No Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548
122,11771,Kuroko No Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315
121,486,Kino No Tabi The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822
128,5420,Kemono No Souja Erin,"Drama, Fantasy",TV,50,8.45,36751
130,32,Neon Genesis Evangelion The End Of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630
131,4224,Toradora,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817
125,25781,Shingeki No Kyojin Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543
127,28701,Fatestay Night Unlimited Blade Works 2Nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987
129,9260,Kizumonogatari I Tekketsuhen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579
133,2685,Tsubasa Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963
132,2236,Toki Wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206
10052,15905,Qin Shiming Yue Zhi Wanli Changcheng,"Action, Fantasy, Historical, Martial Arts",TV,37,8.43,273
134,31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855
135,45,Rurouni Kenshin Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928
136,2418,Stranger Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503
137,1365,Detective Conan Movie 06 The Phantom Of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462
142,4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736
141,23755,Nanatsu No Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627
143,4155,One Piece Film Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020
139,627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061
140,10937,Mobile Suit Gundam The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420
138,22297,Fatestay Night Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484
148,558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689
149,5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056
144,1889,Higurashi No Naku Koro Ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101
145,137,Hunter X Hunter Ova,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168
146,139,Hunter X Hunter Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787
147,23317,Kuroshitsuji Book Of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261
9829,30943,Ojiichan Wa Boku No Hero,"Drama, Kids",OVA,1,8.4,101
157,338,Rose Of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188
152,5,Cowboy Bebop Tengoku No Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636
154,6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076
8301,23185,Chamebou Kuukijuu No Maki,Comedy,Movie,1,8.4,66
156,1210,Nhk Ni Youkoso,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228
155,20651,Natsume Yuujinchou Itsuka Yuki No Hi Ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302
150,57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328
153,1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528
151,33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430
158,13759,Sakurasou No Pet Na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375
8852,28563,Hi Asobi Wa Kaji No Moto Kenta To Nyanta No Hi No Youjin,"Drama, Kids",OVA,1,8.4,49
161,32867,Bungou Stray Dogs 2Nd Season,"Mystery, Seinen, Supernatural",TV,12,8.39,83641
163,12859,One Piece Film Z,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.39,76051
159,6547,Angel Beats,"Action, Comedy, Drama, School, Supernatural",TV,13,8.39,717796
162,264,Hajime No Ippo Champion Road,"Comedy, Shounen, Sports",Special,1,8.39,47840
164,853,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",TV,26,8.39,422271
160,5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268
166,6746,Durarara,"Action, Mystery, Supernatural",TV,24,8.38,556431
168,329,Planetes,"Drama, Romance, Sci-Fi, Seinen, Space",TV,26,8.38,105044
170,513,Tenkuu No Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061
12251,33960,Chou Do M Na Hentai Mesutachi Otokoton Choukyou Itashimasu,Hentai,OVA,Unknown,8.38,161
165,5460,Detective Conan Movie 13 The Raven Chaser,"Action, Mystery, Police, Shounen",Movie,1,8.38,21798
169,34240,Shelter,"Music, Sci-Fi",Music,1,8.38,71136
167,5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11,8.38,67697
172,1142,Hachimitsu To Clover Ii,"Drama, Josei, Romance",TV,12,8.37,61493
176,22145,Kuroshitsuji Book Of Circus,"Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,10,8.37,122895
173,6811,Inuyasha Kanketsuhen,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,26,8.37,99128
174,16664,Kaguyahime No Monogatari,"Fantasy, Historical",Movie,1,8.37,45547
177,2966,Ookami To Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932
175,1604,Katekyo Hitman Reborn,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103
171,6945,Gintama Shiroyasha Koutan,"Action, Comedy, Historical, Parody, Sci-Fi",Special,1,8.37,27213
181,9890,Major Message,"Comedy, Drama, Sports",OVA,1,8.36,12282
179,19363,Gin No Saji 2Nd Season,"Comedy, School, Shounen, Slice of Life",TV,11,8.36,67032
182,9130,Saint Seiya The Lost Canvas  Meiou Shinwa 2,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,8.36,27532
183,9863,Sket Dance,"Comedy, School, Shounen",TV,77,8.36,101027
180,18195,Little Busters Refrain,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.36,71820
178,31964,Boku No Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,282002
184,7674,Bakuman,"Comedy, Romance, Shounen",TV,25,8.35,246899
185,11843,Danshi Koukousei No Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914
186,16782,Kotonoha No Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741
187,28675,Kyoukai No Kanata Movie Ill Be Here  Miraihen,"Fantasy, Slice of Life, Supernatural",Movie,1,8.35,59815
189,21557,Omoide No Marnie,"Drama, Mystery, Psychological",Movie,1,8.35,53590
188,3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002
190,31715,Working Lord Of The Takanashi,"Comedy, Romance, Slice of Life",Special,1,8.34,31856
192,9617,Kon Movie,"Comedy, Music, Slice of Life",Movie,1,8.34,115252
194,10153,Mahou Shoujo Lyrical Nanoha The Movie 2Nd As,"Action, Comedy, Drama, Magic, Super Power",Movie,1,8.34,13315
197,3091,Xxxholic Kei,"Comedy, Drama, Mystery, Psychological, Supernatural",TV,13,8.34,74941
191,43,Ghost In The Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036
195,1033,Sennen Joyuu,"Action, Adventure, Drama, Fantasy, Historical, Romance",Movie,1,8.34,58492
193,31051,Kuroko No Basket Saikou No Present Desu,"Action, School, Shounen, Sports",Special,1,8.34,22900
196,32188,Steinsgate Kyoukaimenjou No Missing Link  Divide By Zero,"Sci-Fi, Thriller",Special,1,8.34,38147
9540,27579,Miichan No Tenohira,"Drama, Historical",Movie,1,8.33,51
10456,26219,Tabidachi No Hi Ni,"Drama, Kids",OVA,1,8.33,44
10550,27839,Ticonderonga No Iru Umi,"Drama, Historical, Kids",OVA,1,8.33,59
9007,24041,Jarujio Animal,"Adventure, Comedy, Parody",TV,10,8.33,57
9653,26103,Namae Sore Wa Moeru Inochi,"Drama, Kids",OVA,1,8.33,50
9798,26317,Obake Nagaya,"Comedy, Kids, Supernatural",OVA,1,8.33,42
10688,30941,Utsukushii Message,"Drama, Kids",OVA,1,8.33,37
199,28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914
201,3002,Gyakkyou Burai Kaiji Ultimate Survivor,"Game, Psychological, Seinen, Thriller",TV,26,8.33,98996
198,12115,Berserk Ougon Jidaihen Iii  Kourin,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural",Movie,1,8.33,65594
200,121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,8.33,600384
8846,28353,Henteko Na Volunteer,"Drama, Slice of Life",OVA,1,8.33,44
9511,26221,Mebae No Ashita,"Drama, Kids",OVA,1,8.33,45
202,138,Hunter X Hunter Greed Island,"Action, Adventure, Shounen, Super Power",OVA,8,8.33,57029
203,6675,Redline,"Action, Cars, Sci-Fi, Sports",Movie,1,8.33,109392
9840,26143,Okori Jizou,"Historical, Kids",Movie,1,8.33,52
9910,30932,Oz No Mahoutsukai No Koutsuu Anzen No Tabi,"Drama, Fantasy, Kids",OVA,1,8.33,36
9279,26091,Koe Wo Kikasete,"Drama, Kids",OVA,1,8.33,47
211,30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,26,8.32,461946
210,16067,Nagi No Asukara,"Drama, Fantasy, Romance",TV,26,8.32,224947
209,585,Mimi Wo Sumaseba,"Adventure, Drama, Fantasy, Romance, Slice of Life",Movie,1,8.32,94435
207,27821,Fatestay Night Unlimited Blade Works  Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1,8.32,106382
214,6,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069
206,813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662
205,32005,Detective Conan Movie 20 The Darkest Nightmare,"Action, Mystery, Police, Shounen",Movie,1,8.32,6229
208,28725,Kokoro Ga Sakebitagatterunda,"Drama, Romance, School",Movie,1,8.32,59652
204,10800,Chihayafuru,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.32,158561
213,759,Tokyo Godfathers,"Comedy, Drama",Movie,1,8.32,89424
215,6864,Xxxholic Rou,"Mystery, Supernatural",OVA,2,8.32,36353
212,31490,One Piece Film Gold,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.32,18642
217,11977,Mahou Shoujo Madokamagica Movie 1 Hajimari No Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.31,88164
219,23847,Yahari Ore No Seishun Love Comedy Wa Machigatteiru Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994
220,33161,Yahari Ore No Seishun Love Comedy Wa Machigatteiru Zoku Ova,"Comedy, Romance, School",OVA,1,8.31,35120
218,11123,Sekaiichi Hatsukoi 2,"Comedy, Drama, Romance, Shounen Ai",TV,12,8.31,69253
